variable;date;value
Indice de production des branches industrielles à forte intensité énergétique;2017-10-01;103,7
Indice de production des branches industrielles à forte intensité énergétique;2017-11-01;105,6
Indice de production des branches industrielles à forte intensité énergétique;2017-12-01;105,3
Indice de production des branches industrielles à forte intensité énergétique;2018-01-01;103,1
Indice de production des branches industrielles à forte intensité énergétique;2018-02-01;101,5
Indice de production des branches industrielles à forte intensité énergétique;2018-03-01;100,3
Indice de production des branches industrielles à forte intensité énergétique;2018-04-01;101,4
Indice de production des branches industrielles à forte intensité énergétique;2018-05-01;104,2
Indice de production des branches industrielles à forte intensité énergétique;2018-06-01;103,6
Indice de production des branches industrielles à forte intensité énergétique;2018-07-01;103,1
Indice de production des branches industrielles à forte intensité énergétique;2018-08-01;101,9
Indice de production des branches industrielles à forte intensité énergétique;2018-09-01;101,0
Indice de production des branches industrielles à forte intensité énergétique;2018-10-01;100,0
Indice de production des branches industrielles à forte intensité énergétique;2018-11-01;99,8
Indice de production des branches industrielles à forte intensité énergétique;2018-12-01;100,5
Indice de production des branches industrielles à forte intensité énergétique;2019-01-01;100,8
Indice de production des branches industrielles à forte intensité énergétique;2019-02-01;100,7
Indice de production des branches industrielles à forte intensité énergétique;2019-03-01;99,6
Indice de production des branches industrielles à forte intensité énergétique;2019-04-01;98,8
Indice de production des branches industrielles à forte intensité énergétique;2019-05-01;98,5
Indice de production des branches industrielles à forte intensité énergétique;2019-06-01;98,1
Indice de production des branches industrielles à forte intensité énergétique;2019-07-01;98,2
Indice de production des branches industrielles à forte intensité énergétique;2019-08-01;98,6
Indice de production des branches industrielles à forte intensité énergétique;2019-09-01;96,9
Indice de production des branches industrielles à forte intensité énergétique;2019-10-01;98,1
Indice de production des branches industrielles à forte intensité énergétique;2019-11-01;96,8
Indice de production des branches industrielles à forte intensité énergétique;2019-12-01;95,3
Indice de production des branches industrielles à forte intensité énergétique;2020-01-01;98,5
Indice de production des branches industrielles à forte intensité énergétique;2020-02-01;101,9
Indice de production des branches industrielles à forte intensité énergétique;2020-03-01;96,6
Indice de production des branches industrielles à forte intensité énergétique;2020-04-01;86,1
Indice de production des branches industrielles à forte intensité énergétique;2020-05-01;84,8
Indice de production des branches industrielles à forte intensité énergétique;2020-06-01;86,7
Indice de production des branches industrielles à forte intensité énergétique;2020-07-01;90,3
Indice de production des branches industrielles à forte intensité énergétique;2020-08-01;93,1
Indice de production des branches industrielles à forte intensité énergétique;2020-09-01;94,3
Indice de production des branches industrielles à forte intensité énergétique;2020-10-01;97,4
Indice de production des branches industrielles à forte intensité énergétique;2020-11-01;98,4
Indice de production des branches industrielles à forte intensité énergétique;2020-12-01;100,3
Indice de production des branches industrielles à forte intensité énergétique;2021-01-01;99,4
Indice de production des branches industrielles à forte intensité énergétique;2021-02-01;95,1
Indice de production des branches industrielles à forte intensité énergétique;2021-03-01;99,6
Indice de production des branches industrielles à forte intensité énergétique;2021-04-01;99,5
Indice de production des branches industrielles à forte intensité énergétique;2021-05-01;100,9
Indice de production des branches industrielles à forte intensité énergétique;2021-06-01;98,6
Indice de production des branches industrielles à forte intensité énergétique;2021-07-01;98,3
Indice de production des branches industrielles à forte intensité énergétique;2021-08-01;98,5
Indice de production des branches industrielles à forte intensité énergétique;2021-09-01;99,8
Indice de production des branches industrielles à forte intensité énergétique;2021-10-01;100,9
Indice de production des branches industrielles à forte intensité énergétique;2021-11-01;101,5
Indice de production des branches industrielles à forte intensité énergétique;2021-12-01;102,9
Indice de production des branches industrielles à forte intensité énergétique;2022-01-01;100,7
Indice de production des branches industrielles à forte intensité énergétique;2022-02-01;98,8
Indice de production des branches industrielles à forte intensité énergétique;2022-03-01;97,9
Indice de production des branches industrielles à forte intensité énergétique;2022-04-01;98,0
Indice de production des branches industrielles à forte intensité énergétique;2022-05-01;95,5
Indice de production des branches industrielles à forte intensité énergétique;2022-06-01;95,8
Indice de production des branches industrielles à forte intensité énergétique;2022-07-01;94,0
Indice de production des branches industrielles à forte intensité énergétique;2022-08-01;91,9
Indice de production des branches industrielles à forte intensité énergétique;2022-09-01;92,0
Indice de production des branches industrielles à forte intensité énergétique;2022-10-01;88,9
Indice de production des branches industrielles à forte intensité énergétique;2022-11-01;88,3
Indice de production des branches industrielles à forte intensité énergétique;2022-12-01;83,7
Indice de production des branches industrielles à forte intensité énergétique;2023-01-01;86,5
Indice de production des branches industrielles à forte intensité énergétique;2023-02-01;87,0
Indice de production des branches industrielles à forte intensité énergétique;2023-03-01;85,0
Indice de production des branches industrielles à forte intensité énergétique;2023-04-01;83,7
Indice de production des branches industrielles à forte intensité énergétique;2023-05-01;82,8
Indice de production des branches industrielles à forte intensité énergétique;2023-06-01;82,7
Indice de production des branches industrielles à forte intensité énergétique;2023-07-01;82,5
Indice de production des branches industrielles à forte intensité énergétique;2023-08-01;83,1
Indice de production des branches industrielles à forte intensité énergétique;2023-09-01;83,6
Indice de production des branches industrielles à forte intensité énergétique;2023-10-01;81,8
Indice de production des branches industrielles à forte intensité énergétique;2023-11-01;82,9
Indice de production des branches industrielles à forte intensité énergétique;2023-12-01;79,3
Indice de production des branches industrielles à forte intensité énergétique;2024-01-01;82,1
Indice de production des branches industrielles à forte intensité énergétique;2024-02-01;86,2
Indice de production des branches industrielles à forte intensité énergétique;2024-03-01;85,3
Indice de production des branches industrielles à forte intensité énergétique;2024-04-01;84,9
Indice de production des branches industrielles à forte intensité énergétique;2024-05-01;84,8
Indice de production des branches industrielles à forte intensité énergétique;2024-06-01;86,2
Indice de production des branches industrielles à forte intensité énergétique;2024-07-01;84,9
Indice de production des branches industrielles à forte intensité énergétique;2024-08-01;84,1
Indice de production des branches industrielles à forte intensité énergétique;2024-09-01;81,8
Indice de production des branches industrielles à forte intensité énergétique;2024-10-01;81,8
Indice de production des branches industrielles à forte intensité énergétique;2024-11-01;83,3
Indice de production des branches industrielles à forte intensité énergétique;2024-12-01;81,4
Indice de production des branches industrielles à forte intensité énergétique;2025-01-01;82,6
Indice de production des branches industrielles à forte intensité énergétique;2025-02-01;82,2
Indice de production des branches industrielles à forte intensité énergétique;2025-03-01;84,5
Indice de production des branches industrielles à forte intensité énergétique;2025-04-01;82,7
